Species,Vanacular Name,Biodiversity Action Plan UK list of priority species,Red List - Endangered,RSPB Priority Species,Scottish Biodiversity List,Invasive Species,Red List - Critically Endangered
Corvus cornix,Hooded crow,0,0,0,5,0,0
Cuculus canorus,Common Cuckoo,9,0,0,9,0,0
Falco tinnunculus,Common kestrel,0,0,0,5,0,0
Gavia immer,Common loon,0,0,0,3,0,0
Hyacinthoides non-scripta,Common Bluebell,0,0,3,0,0,0
Larus argentatus,European herring gull,0,0,0,5,0,0
Linaria cannabina,Common linnet,0,0,0,1,0,0
Passer domesticus,House sparrow,5,0,0,5,0,0
Sciurus vulgaris,Red Squirrel,4,4,4,4,0,0
Thalasseus sandvicensis,Sandwich tern,0,0,0,2,0,0
Turdus philomelos,Song thrush,0,0,0,5,0,0
Turdus torquatus,Ring ouzel,1,0,0,1,0,0
