event_ID,site,habitat_type,sampling_protocol,sampling_effort,sample_size,event_date,start_day_of_year,country,country_code,locality,decimal_lattitude,decimal_longitude,geodetic_datum,kingdom,phylum,class,order,family,genus,species,individual_count
day1_audio2,north,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,12/09/2024,NA,Scotland,GB-SCT,Lochranza,55.70746,-5.284228,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,pipistrellus,688
day1_audio2,north,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,12/09/2024,NA,Scotland,GB-SCT,Lochranza,55.70746,-5.284228,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,pygmaeus,100
day1_audio3,south,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,12/09/2024,NA,Scotland,GB-SCT,Lochranza,55.69843,-5.286285,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,nattereri,15
day1_audio3,south,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,12/09/2024,NA,Scotland,GB-SCT,Lochranza,55.69843,-5.286285,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,pipistrellus,7
day1_audio4,south,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,12/09/2024,NA,Scotland,GB-SCT,Lochranza,55.69705,-5.283941,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,nattereri,1
day1_audio4,south,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,12/09/2024,NA,Scotland,GB-SCT,Lochranza,55.69705,-5.283941,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,nathusii,6
day1_audio4,south,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,12/09/2024,NA,Scotland,GB-SCT,Lochranza,55.69705,-5.283941,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,pipistrellus,37
day2_audio1,south,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,13/09/2024,NA,Scotland,GB-SCT,Lochranza,55.70091,-5.283606,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,nathusii,13
day2_audio1,south,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,13/09/2024,NA,Scotland,GB-SCT,Lochranza,55.70091,-5.283606,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,pipistrellus,284
day2_audio2,south,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,13/09/2024,NA,Scotland,GB-SCT,Lochranza,55.69899,-5.282314,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,pipistrellus,274
day2_audio3,north,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,13/09/2024,NA,Scotland,GB-SCT,Lochranza,55.70552,-5.282458,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,serotinus,2
day2_audio3,north,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,13/09/2024,NA,Scotland,GB-SCT,Lochranza,55.70552,-5.282458,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,daubentonii,8
day2_audio3,north,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,13/09/2024,NA,Scotland,GB-SCT,Lochranza,55.70552,-5.282458,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,nattereri,71
day2_audio3,north,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,13/09/2024,NA,Scotland,GB-SCT,Lochranza,55.70552,-5.282458,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,nathusii,30
day2_audio3,north,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,13/09/2024,NA,Scotland,GB-SCT,Lochranza,55.70552,-5.282458,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,pipistrellus,14992
day2_audio3,north,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,13/09/2024,NA,Scotland,GB-SCT,Lochranza,55.70552,-5.282458,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,pygmaeus,325
day2_audio3,north,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,13/09/2024,NA,Scotland,GB-SCT,Lochranza,55.70552,-5.282458,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Plecotus,auritus,19
day2_audio4,north,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,13/09/2024,NA,Scotland,GB-SCT,Lochranza,55.70314,-5.279014,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,nattereri,3
day2_audio4,north,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,13/09/2024,NA,Scotland,GB-SCT,Lochranza,55.70314,-5.279014,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,pipistrellus,1604
day2_audio4,north,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,13/09/2024,NA,Scotland,GB-SCT,Lochranza,55.70314,-5.279014,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,pygmaeus,175
day2_audio4,north,NA,Audiomoths,"Three hours at sunset, three hours at sunrise.",Four devices each of two nights.,13/09/2024,NA,Scotland,GB-SCT,Lochranza,55.70314,-5.279014,WGS84 (google maps),Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Plecotus,auritus,2
